AMC,Morning star rating,Value Research rating,1 month return,NAV,1 Year return,3 Year Return,Minimum investment,AUM,Category,Risk
mahindra manulife mutual fund,3,3,0.055099999999999996,28.32,0.3779,0.2029,500.0,500.0,Equity,High
mahindra manulife mutual fund,0,3,0.0725,24.89,0.4608,0.2193,500.0,500.0,Equity,High
mahindra manulife mutual fund,4,4,0.0594,35.11,0.5446,0.2748,500.0,500.0,Equity,High
mahindra manulife mutual fund,0,0,0.0837,21.4,0.5979,0.0,500.0,500.0,Equity,VeryHigh
mahindra manulife mutual fund,4,3,0.0406,23.69,0.3207,0.1518,500.0,500.0,Equity,VeryHigh
tata mutual fund,4,3,0.0264,198.23,0.5487,0.3146,100.0,100.0,Equity,VeryHigh
tata mutual fund,0,3,0.0674,24.41,0.3435,0.149,100.0,100.0,Equity,VeryHigh
tata mutual fund,2,0,0.048799999999999996,436.49,0.3427,0.1588,100.0,100.0,Equity,High
tata mutual fund,3,3,0.053099999999999994,455.92,0.46490000000000004,0.2352,100.0,100.0,Equity,High
samco mutual fund,0,0,0.0463,11.52,0.0,0.0,500.0,500.0,Hybrid,VeryHigh
kotak mahindra mutual fund,0,0,0.0063,11.3,0.079,0.0,100.0,100.0,Other,LowtoModerate
kotak mahindra mutual fund,0,0,0.015600000000000001,10.55,0.0,0.0,100.0,100.0,Debt,Moderate
kotak mahindra mutual fund,0,0,0.066,19.9,0.5314,0.0,100.0,100.0,Equity,VeryHigh
kotak mahindra mutual fund,3,0,0.0335,224.09,0.302,0.187,100.0,100.0,Other,VeryHigh
kotak mahindra mutual fund,0,0,0.0106,10.97,0.0,0.0,100.0,100.0,Other,Moderate
kotak mahindra mutual fund,3,3,0.0365,20.12,0.2208,0.11900000000000001,100.0,100.0,Hybrid,VeryHigh
kotak mahindra mutual fund,0,0,0.0662,14.73,0.41240000000000004,0.0,100.0,100.0,Other,VeryHigh
kotak mahindra mutual fund,0,3,0.0384,28.71,0.23170000000000002,0.1407,100.0,100.0,Other,High
kotak mahindra mutual fund,4,3,0.0104,72.69,0.0868,0.0527,100.0,100.0,Debt,Moderate
kotak mahindra mutual fund,0,0,0.0054,10.33,0.0,0.0,100.0,100.0,Other,LowtoModerate
kotak mahindra mutual fund,0,0,0.1249,14.19,0.35109999999999997,0.0,100.0,100.0,Other,VeryHigh
kotak mahindra mutual fund,0,0,0.0374,19.39,0.4543,0.0,100.0,100.0,Equity,VeryHigh
